sale_id,date,medicine_name,generic_name,category,units_sold,unit_price_usd,total_revenue_usd,region,pharmacy_id,prescription_required
SAL10111,2024-01-05,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,3,0.76,2.28,East,PH1004,Yes
SAL10156,2024-01-09,Metformin 500mg,Metformin,Antidiabetic,6,0.52,3.12,Central,PH1004,Yes
SAL10168,2024-01-12,Fluconazole 150mg,Fluconazole,Antifungal,1,2.23,2.23,East,PH1001,Yes
SAL10189,2024-01-12,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,1,0.62,0.62,Central,PH1001,Yes
SAL10088,2024-01-14,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.13,5.13,East,PH1007,No
SAL10198,2024-01-14,Metformin 500mg,Metformin,Antidiabetic,3,0.66,1.98,West,PH1006,Yes
SAL10110,2024-01-15,Cetirizine 10mg,Cetirizine,Antihistamine,8,0.5,4.0,East,PH1001,No
SAL10145,2024-01-16,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,10,0.52,5.2,North,PH1004,No
SAL10135,2024-01-17,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,6,0.58,3.48,South,PH1005,No
SAL10193,2024-01-24,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,4,0.88,3.52,Central,PH1007,Yes
SAL10119,2024-01-25,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,6,0.65,3.9,East,PH1008,Yes
SAL10086,2024-01-26,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,0.93,0.93,West,PH1000,Yes
SAL10040,2024-01-26,Amoxicillin 500mg,Amoxicillin,Antibiotic,11,1.22,13.42,West,PH1006,Yes
SAL10178,2024-01-27,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,9,0.56,5.04,Central,PH1003,No
SAL10174,2024-01-27,Salbutamol Inhaler,Salbutamol,Bronchodilator,2,5.06,10.12,West,PH1006,No
SAL10116,2024-01-29,Amoxicillin 500mg,Amoxicillin,Antibiotic,4,1.14,4.56,North,PH1008,Yes
SAL10094,2024-02-03,Fluconazole 150mg,Fluconazole,Antifungal,2,2.27,4.54,West,PH1008,Yes
SAL10084,2024-02-03,Amoxicillin 500mg,Amoxicillin,Antibiotic,3,1.49,4.47,South,PH1002,Yes
SAL10010,2024-02-04,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,2,0.85,1.7,East,PH1002,Yes
